Transaction ID,Date,Product ID,Product Name,Category,Quantity Sold,Sales Price per Unit ($),Total Sales ($),Discount (%),Total Sales After Discount ($),Stock After Sale,Returned,Net Sales Value ($),Weather Condition,Temperature (°C),Humidity (%),Precipitation (mm),Wind Speed (km/h),Is Holiday,Holiday Name,Is Weekend,Is Special Event,Special Event Name,Season
T5749,2024-03-25,P015,Dining Table,Furniture,9,534.73,4812.57,20,3850.06,185,0,3850.06,Sunny,18.2,42,0.0,28.02,0,,0,0,,Spring
T3187,2024-03-25,P020,Board Game,Toys,9,41.92,377.28,5,358.42,30,1,286.74,Sunny,16.26,32,0.0,13.76,0,,0,0,,Spring
T3298,2024-03-25,P004,Monitor,Electronics,8,844.74,6757.92,0,6757.92,87,0,6757.92,Cloudy,15.47,71,0.0,18.13,0,,0,0,,Spring
T2260,2024-03-25,P015,Dining Table,Furniture,7,451.8,3162.6,15,2688.21,171,0,2688.21,Stormy,13.14,40,2.34,6.24,0,,0,0,,Spring
T2461,2024-03-25,P002,Smartphone,Electronics,4,669.22,2676.88,0,2676.88,170,0,2676.88,Stormy,11.99,53,19.09,29.84,0,,0,0,,Spring
T8812,2024-03-25,P003,Headphones,Electronics,5,749.0,3745.0,10,3370.5,99,1,2696.4,Snow,12.71,60,18.39,8.7,0,,0,0,,Spring
T2536,2024-03-25,P014,Sofa,Furniture,4,549.45,2197.8,0,2197.8,31,1,1758.24,Cloudy,18.99,50,0.0,15.77,0,,0,0,,Spring
T7487,2024-03-25,P018,Toy Car,Toys,5,311.78,1558.9,0,1558.9,197,0,1558.9,Snow,11.15,33,13.21,5.78,0,,0,0,,Spring
T2425,2024-03-25,P012,Jeans,Clothing,4,331.21,1324.84,10,1192.36,24,0,1192.36,Rainy,21.48,79,9.93,29.11,0,,0,0,,Spring
T8328,2024-03-25,P006,Blender,Home Appliances,1,139.83,139.83,10,125.85,49,1,100.68,Snow,20.83,86,16.59,22.19,0,,0,0,,Spring
T6154,2024-03-26,P004,Monitor,Electronics,6,64.26,385.56,20,308.45,97,0,308.45,Rainy,18.05,79,3.35,23.55,0,,0,0,,Spring
T8214,2024-03-26,P016,Bookshelf,Furniture,4,227.26,909.04,10,818.14,151,0,818.14,Sunny,14.88,70,0.0,18.63,0,,0,0,,Spring
T3387,2024-03-26,P018,Toy Car,Toys,8,804.44,6435.52,10,5791.97,176,1,4633.58,Sunny,21.22,78,0.0,8.97,0,,0,0,,Spring
T7751,2024-03-26,P004,Monitor,Electronics,3,503.33,1509.99,15,1283.49,72,1,1026.79,Cloudy,15.82,48,0.0,11.03,0,,0,0,,Spring
T6968,2024-03-26,P011,T-shirt,Clothing,3,804.77,2414.31,15,2052.16,169,0,2052.16,Cloudy,24.15,78,0.0,26.25,0,,0,0,,Spring
T4353,2024-03-26,P019,Doll,Toys,6,695.7,4174.2,20,3339.36,176,1,2671.49,Stormy,24.87,60,3.47,14.14,0,,0,0,,Spring
T5367,2024-03-26,P003,Headphones,Electronics,3,25.62,76.86,10,69.17,143,0,69.17,Sunny,24.22,36,0.0,8.07,0,,0,0,,Spring
T6135,2024-03-26,P012,Jeans,Clothing,7,100.13,700.91,10,630.82,174,1,504.66,Snow,23.95,83,3.84,7.15,0,,0,0,,Spring
T5134,2024-03-26,P008,Air Fryer,Home Appliances,7,561.65,3931.55,10,3538.4,55,0,3538.4,Stormy,23.04,44,16.31,27.87,0,,0,0,,Spring
T1534,2024-03-26,P004,Monitor,Electronics,8,515.38,4123.04,15,3504.58,112,1,2803.66,Rainy,12.85,33,7.32,5.44,0,,0,0,,Spring
T8039,2024-03-27,P018,Toy Car,Toys,10,819.76,8197.6,5,7787.72,109,1,6230.18,Snow,24.51,32,12.37,16.87,0,,0,0,,Spring
T1437,2024-03-27,P009,Coffee Machine,Home Appliances,6,151.9,911.4,5,865.83,40,1,692.66,Sunny,21.45,68,0.0,20.15,0,,0,0,,Spring
T8507,2024-03-27,P013,Winter Coat,Clothing,1,509.57,509.57,0,509.57,143,0,509.57,Cloudy,14.69,65,0.0,29.13,0,,0,0,,Spring
T3151,2024-03-27,P014,Sofa,Furniture,9,425.3,3827.7,5,3636.31,149,1,2909.05,Stormy,21.85,60,8.06,22.57,0,,0,0,,Spring
T5421,2024-03-27,P006,Blender,Home Appliances,7,481.63,3371.41,0,3371.41,94,1,2697.13,Sunny,19.08,67,0.0,19.75,0,,0,0,,Spring
T8545,2024-03-27,P003,Headphones,Electronics,6,282.09,1692.54,5,1607.91,102,0,1607.91,Cloudy,11.17,60,0.0,11.28,0,,0,0,,Spring
T4436,2024-03-27,P020,Board Game,Toys,8,17.47,139.76,20,111.81,178,1,89.45,Stormy,24.61,34,15.19,26.33,0,,0,0,,Spring
T8539,2024-03-27,P016,Bookshelf,Furniture,8,876.59,7012.72,10,6311.45,44,0,6311.45,Rainy,19.08,52,13.55,13.56,0,,0,0,,Spring
T3020,2024-03-27,P012,Jeans,Clothing,9,892.57,8033.13,10,7229.82,197,0,7229.82,Sunny,16.12,83,0.0,28.57,0,,0,0,,Spring
