Transaction ID,Date,Product Name,Quantity Sold,Sales Price per Unit ($),Discount (%),Stock After Sale,Returned,Weather Condition,Temperature (°C),Humidity (%),Precipitation (mm),Wind Speed (km/h),Is Holiday,Is Weekend,Is Special Event,Season,Category,Total Sales ($),Total Sales After Discount ($),Net Sales Value ($),Sales_Lag_1,Sales_Lag_7,Sales_Lag_14,Future_7_Day_Sales
T1156,2023-06-06,Sofa,8,991.86,10,224,1,Snow,21.82,10,34.49,24.23,1,1,0,Summer,Furniture,7934.88,7141.392,6149.532,2,9,3,6
T1192,2023-07-12,Sofa,18,855.72,10,229,1,Cloudy,33.49,58,27.04,65.84,0,1,0,Fall,Furniture,15402.96,13862.664,13006.944,8,5,2,13
T1196,2023-07-16,Sofa,15,607.81,10,431,0,Rainy,-2.59,86,41.75,56.46,0,0,0,Spring,Furniture,9117.15,8205.435,8205.435,18,19,9,10
T1199,2023-07-19,Smartphone,13,377.46,5,241,0,Sunny,23.16,22,1.4,82.53,1,1,0,Winter,Electronics,4906.98,4661.631,4661.631,15,16,6,7
T1204,2023-07-24,Sofa,19,344.11,10,462,1,Stormy,1.05,67,34.61,74.25,1,0,0,Fall,Furniture,6538.09,5884.281,5540.171,15,8,9,10
T1209,2023-07-29,Smartphone,15,34.98,0,276,0,Snow,-0.13,67,11.58,61.63,1,1,0,Fall,Electronics,524.7,524.7,524.7,13,17,3,4
T1211,2023-07-31,Microwave,10,524.87,10,31,0,Snow,-1.14,63,1.38,71.54,1,0,0,Fall,Kitchen,5248.7,4723.83,4723.83,12,2,13,18
T1216,2023-08-05,Monitor,5,604.28,5,10,1,Cloudy,11.59,36,17.75,97.92,0,1,1,Fall,Electronics,3021.4,2870.33,2266.05,3,17,13,17
T1220,2023-08-09,Monitor,8,272.72,20,156,1,Cloudy,7.64,45,2.01,81.71,1,0,1,Fall,Electronics,2181.76,1745.408,1472.688,5,19,11,6
T1221,2023-08-10,Smartphone,3,558.79,0,158,1,Sunny,35.96,90,11.8,73.6,1,1,1,Summer,Electronics,1676.37,1676.37,1117.58,15,4,4,19
T1227,2023-08-16,Television,7,613.84,5,463,0,Snow,11.85,55,34.79,66.3,0,0,1,Spring,Electronics,4296.88,4082.036,4082.036,11,9,13,1
T1228,2023-08-17,Monitor,2,925.28,15,213,0,Stormy,-1.36,88,38.7,67.37,0,1,1,Summer,Electronics,1850.56,1572.976,1572.976,8,9,8,16
T1230,2023-08-19,Monitor,16,594.05,20,101,0,Sunny,22.01,58,21.4,70.15,0,0,0,Summer,Electronics,9504.8,7603.84,7603.84,2,13,6,17
T1235,2023-08-24,Monitor,12,762.82,20,393,1,Cloudy,31.87,93,44.64,22.27,1,1,0,Spring,Electronics,9153.84,7323.072,6560.252,16,7,10,14
T1237,2023-08-26,Camera,14,707.04,20,362,0,Cloudy,33.5,50,31.84,68.22,0,1,0,Summer,Electronics,9898.56,7918.848,7918.848,12,8,19,9
T1239,2023-08-28,Smartphone,2,382.05,20,92,1,Snow,32.55,53,33.92,79.66,0,0,0,Summer,Electronics,764.1,611.28,229.23,3,9,10,4
T1241,2023-08-30,Smartphone,16,480.93,15,447,0,Cloudy,22.55,95,28.19,84.6,0,0,0,Fall,Electronics,7694.88,6540.648,6540.648,2,8,1,10
T1243,2023-09-01,Coffee Maker,6,765.26,20,317,1,Sunny,-2.02,61,36.2,50.55,0,1,1,Winter,Kitchen,4591.56,3673.248,2907.988,17,7,5,9
T1244,2023-09-02,Television,19,55,10,168,1,Stormy,4.72,79,0.98,65.01,0,0,0,Summer,Electronics,1045,940.5,885.5,7,1,4,13
T1245,2023-09-03,Sofa,5,650.13,0,300,0,Snow,0.75,77,34.52,32.2,1,0,1,Spring,Furniture,3250.65,3250.65,3250.65,19,7,1,12
T1246,2023-09-04,Monitor,4,234.47,20,470,0,Cloudy,9.06,72,46.73,4.11,0,0,0,Winter,Electronics,937.88,750.304,750.304,12,11,8,3
T1248,2023-09-06,Smartphone,4,473.65,15,435,0,Cloudy,21.49,32,1.84,1.28,0,0,0,Summer,Electronics,1894.6,1610.41,1610.41,16,8,8,5
T1249,2023-09-07,Coffee Maker,10,775.82,20,442,0,Snow,30.54,53,18.89,95.06,1,0,0,Summer,Kitchen,7758.2,6206.56,6206.56,6,12,15,11
T1250,2023-09-08,Microwave,3,132.17,10,218,0,Cloudy,24.53,92,40.48,79.67,0,1,1,Spring,Kitchen,396.51,356.859,356.859,10,11,11,15
T1257,2023-09-15,Television,14,756.2,0,62,1,Cloudy,-4.74,27,16.21,86.41,0,1,0,Summer,Electronics,10586.8,10586.8,9830.6,19,2,4,2
T1258,2023-09-16,Headphones,4,223.35,10,498,0,Snow,24.31,36,29.66,70.38,1,0,1,Summer,Electronics,893.4,804.06,804.06,10,2,12,10
T1259,2023-09-17,Smartphone,13,342.65,0,363,1,Snow,4.11,60,26.95,2.29,1,0,0,Spring,Electronics,4454.45,4454.45,4111.8,4,15,5,14
T1261,2023-09-19,Smartphone,7,775.65,20,327,1,Rainy,33.66,83,37.02,55.8,1,0,1,Summer,Electronics,5429.55,4343.64,3567.99,13,13,16,10
T1263,2023-09-21,Coffee Maker,14,197.25,20,90,1,Snow,-0.21,24,44.42,10.2,1,1,1,Spring,Kitchen,2761.5,2209.2,2011.95,10,8,13,16
T1266,2023-09-24,Monitor,16,614.66,5,30,1,Cloudy,7.37,77,22.91,88.93,0,1,0,Winter,Electronics,9834.56,9342.832,8728.172,4,3,8,11
T1267,2023-09-25,Wardrobe,4,207.84,0,359,1,Stormy,27.26,24,1.88,76.52,0,0,1,Winter,Furniture,831.36,831.36,623.52,15,11,19,7
T1268,2023-09-26,Wardrobe,2,64.97,20,407,1,Snow,21.77,60,24.61,36.97,0,1,1,Summer,Furniture,129.94,103.952,38.982,4,10,5,19
T1269,2023-09-27,Microwave,18,572.78,0,288,0,Rainy,9.62,57,44.92,16.71,0,1,0,Winter,Kitchen,10310.04,10310.04,10310.04,3,8,2,1
